Plant_Name,Nutrient_Requirement (mg/L),Hormone_Requirement (mg/L),Temperature (°C),pH_Level,Light_Intensity (lux),Contamination_Sensitivity,Recommended_Media
Rose,218.43,4.68,22.94,6.76,4692.49,High,Gamborg
Orchid,111.02,4.2,17.07,5.56,4154.27,High,Nitsch
Bamboo,165.67,1.36,28.89,6.26,1695.47,Medium,B5
Fern,98.34,0.66,22.51,5.96,2078.75,High,B5
Cactus,119.59,1.05,17.7,6.39,2685.53,High,Nitsch
Rose,303.49,4.36,25.79,7.24,3300.8,High,Murashige & Skoog
Tulip,36.79,0.75,28.69,6.03,2883.08,Low,Gamborg
Cactus,57.65,2.32,28.25,7.43,2433.05,Low,Nitsch
Rose,394.5,2.97,29.08,6.37,4210.93,Low,B5
Orchid,301.74,4.34,17.76,6.53,3104.22,Low,Murashige & Skoog
Rose,302.38,1.28,23.93,5.55,3608.17,High,Murashige & Skoog
Bamboo,173.19,1.78,29.25,5.12,2584.82,High,Nitsch
Fern,26.6,0.43,22.83,5.13,2429.74,High,Gamborg
Tulip,44.61,0.46,24.13,6.88,2469.24,Low,White
Fern,50.55,0.57,23.42,6.83,2662.67,High,White
Wheat,43.64,0.22,29.38,6.15,2132.42,High,White
Bamboo,178.25,2.09,26.62,5.05,2053.04,High,Nitsch
Tomato,55.31,1.99,24.64,5.62,2014.64,Low,Murashige & Skoog
Mango,42.21,0.66,17.38,5.52,2983.91,Medium,Murashige & Skoog
Bamboo,74.68,1.51,22.42,5.44,2466.44,Medium,Murashige & Skoog
Tulip,88.63,0.95,15.49,7.44,2741.08,Low,Gamborg
Tomato,83.1,1.8,15.39,7.12,2902.09,High,Nitsch
Cactus,192.99,1.73,27.01,6.02,1639.34,Medium,White
Fern,48.86,0.9,19.68,5.11,2299.75,Low,Nitsch
Apple,71.5,0.57,25.39,5.11,1736.79,Medium,Gamborg
Cactus,165.16,1.49,29.87,5.11,1468.74,Medium,White
Cactus,112.48,1.15,19.3,7.2,1323.41,Low,Nitsch
Mango,74.19,0.79,24.53,5.59,2748.09,Medium,White
Apple,99.69,0.82,27.44,7.38,1302.27,High,Murashige & Skoog
Tulip,33.56,0.72,21.0,6.04,1561.63,High,Murashige & Skoog
Fern,59.63,0.38,17.41,7.24,2190.91,Low,White
Orchid,165.99,2.35,20.72,7.43,3011.27,Medium,Nitsch
Tulip,86.53,0.61,16.93,5.97,1171.08,High,Murashige & Skoog
Tulip,87.95,0.42,22.42,5.16,1551.19,Medium,Murashige & Skoog
Wheat,83.58,0.44,17.01,6.08,2201.26,High,White
Mango,82.12,0.81,17.87,6.63,1399.3,High,B5
Tulip,99.75,0.13,16.37,5.19,1796.72,Low,B5
Apple,90.72,0.39,16.32,5.15,2704.27,Low,Murashige & Skoog
Rose,135.65,2.66,19.08,5.04,4576.89,Medium,Nitsch
Cactus,83.18,0.8,17.17,6.16,1492.99,Medium,B5
Apple,62.29,0.36,26.01,6.47,1025.45,High,Nitsch
Rose,360.59,4.53,21.67,6.27,3831.51,High,Murashige & Skoog
Bamboo,184.27,2.08,16.9,6.53,2991.81,Medium,Nitsch
Apple,41.53,0.43,25.86,6.25,2141.14,Low,Murashige & Skoog
Tomato,90.73,0.79,19.38,6.27,1684.28,Low,White
Bamboo,113.38,1.07,28.56,5.46,2362.73,Medium,Gamborg
Cactus,70.56,2.05,27.84,6.96,2669.15,High,B5
Bamboo,150.47,2.38,16.29,5.82,1888.13,High,Nitsch
Tulip,42.74,0.89,17.56,5.55,1698.77,Low,B5
Mango,44.85,0.27,18.34,7.01,2786.96,High,B5
Apple,82.71,0.71,15.61,5.88,2364.35,High,Murashige & Skoog
Apple,12.2,0.33,16.37,5.84,2545.87,High,Nitsch
Tulip,35.39,0.9,20.99,6.0,1810.7,High,Murashige & Skoog
Rose,211.47,1.13,21.69,6.36,4601.97,Medium,Gamborg
Wheat,96.82,0.8,19.48,6.6,2344.48,High,B5
Cactus,195.78,0.86,22.67,5.6,2864.7,Low,Nitsch
Tulip,83.32,0.38,21.05,5.61,2781.52,Medium,B5
Tomato,199.89,1.81,20.59,5.83,2863.21,Low,Nitsch
Rose,341.29,4.56,29.54,6.8,4097.58,High,Murashige & Skoog
Orchid,399.79,3.36,25.22,6.71,4690.5,High,Murashige & Skoog
Orchid,166.07,3.66,28.43,6.71,3826.98,High,White
Bamboo,161.19,1.71,19.37,7.31,2103.76,High,Nitsch
Bamboo,101.61,2.25,15.75,6.28,1963.41,Medium,Nitsch
Wheat,35.37,0.3,28.89,6.43,1209.38,High,Gamborg
Mango,43.77,0.15,17.0,5.58,1859.2,High,B5
Tomato,51.61,2.26,21.67,7.33,1991.08,High,Gamborg
Bamboo,100.7,1.2,16.78,5.37,1371.52,Low,Nitsch
Tomato,183.8,1.24,25.87,5.21,2182.2,Low,B5
Bamboo,176.93,1.41,26.63,5.48,2124.67,Medium,B5
Apple,30.33,0.75,22.35,6.88,2030.59,High,Gamborg
Mango,74.4,0.39,20.0,6.85,1503.31,High,White
Mango,58.4,0.34,27.53,6.43,1311.03,High,Gamborg
Wheat,15.27,0.59,25.5,7.5,1717.22,Low,Gamborg
Bamboo,153.41,1.7,15.79,5.2,1041.53,High,Nitsch
Fern,77.12,0.26,24.09,5.72,2593.99,Low,Nitsch
Mango,51.13,0.82,19.37,6.28,2206.02,High,White
Tulip,71.76,0.69,21.23,5.25,2822.34,High,Nitsch
Cactus,104.02,1.22,19.14,7.45,2741.56,Medium,Nitsch
Mango,57.77,0.54,25.34,7.38,1224.4,Medium,Nitsch
Mango,48.73,0.73,21.47,5.98,2981.42,Low,Nitsch
Fern,71.62,0.5,27.95,7.17,1941.38,Low,White
Wheat,80.13,0.54,28.27,6.48,1481.29,Medium,B5
Tomato,81.19,1.81,17.04,5.73,1662.62,Low,B5
Bamboo,193.03,2.19,18.91,6.54,2846.48,Medium,Nitsch
Rose,108.87,2.38,27.35,6.57,4963.37,High,Nitsch
Orchid,112.82,2.64,25.78,5.51,4292.94,Low,B5
Mango,52.0,0.4,24.29,7.44,1853.68,Medium,Nitsch
Cactus,99.3,0.74,21.99,5.01,1803.57,Low,Nitsch
Wheat,51.16,0.55,24.89,6.16,2372.36,Medium,Gamborg
Fern,34.21,0.73,16.9,5.13,2535.35,High,Gamborg
Orchid,152.34,1.95,23.63,5.74,3844.65,Low,Nitsch
Orchid,313.36,2.51,21.2,5.93,4073.07,Low,Nitsch
Rose,369.6,3.84,29.56,6.59,4927.1,Low,Murashige & Skoog
Rose,115.74,3.32,29.75,6.04,3424.09,Medium,Gamborg
Cactus,113.92,1.18,25.13,5.74,1701.68,High,B5
Cactus,58.42,2.32,19.84,6.07,2654.69,Low,B5
Rose,216.86,3.07,19.87,6.56,3185.96,Medium,Gamborg
Tomato,132.91,1.66,21.4,5.18,2786.69,High,Nitsch
Orchid,253.28,2.99,15.91,6.52,4616.65,High,Gamborg
Cactus,80.45,2.22,20.14,7.37,1143.5,Medium,Murashige & Skoog
Apple,60.06,0.42,27.56,6.32,1059.62,High,White
Mango,99.62,0.91,19.39,6.35,1633.0,High,B5
Fern,42.53,0.67,15.02,6.18,2788.5,Low,Nitsch
Fern,70.52,0.34,19.87,7.33,2357.06,Medium,Gamborg
Apple,74.89,0.82,29.15,5.58,1097.44,High,Gamborg
Wheat,89.97,0.99,23.53,6.94,2718.08,High,White
Rose,230.82,4.8,20.36,6.9,4166.19,Low,Gamborg
Wheat,17.59,0.28,17.15,5.82,2157.98,High,Nitsch
Tulip,20.58,0.64,21.15,7.26,2823.97,High,B5
Mango,42.5,0.59,24.81,6.55,2409.97,High,White
Apple,65.93,0.26,18.17,5.02,2421.34,Medium,B5
Cactus,59.45,2.39,26.48,6.83,1345.72,Medium,Gamborg
Orchid,193.68,2.08,28.52,5.12,4321.48,High,Nitsch
Rose,129.49,1.46,26.17,5.68,4257.26,Low,White
Tomato,82.57,0.71,16.96,5.16,1175.28,Medium,B5
Wheat,40.4,0.27,17.71,5.8,2963.63,Low,Gamborg
Apple,42.65,0.18,27.64,5.85,1436.5,High,B5
Bamboo,76.22,1.75,20.81,5.14,2840.39,Low,Nitsch
Bamboo,89.31,2.32,29.25,5.67,2508.4,Low,Gamborg
Rose,182.54,4.23,28.51,6.71,3209.65,Medium,B5
Rose,184.56,4.97,20.03,5.53,3220.27,Low,Nitsch
Bamboo,153.89,0.96,26.54,5.34,1880.94,High,Murashige & Skoog
Apple,64.52,0.22,29.95,6.93,2754.41,High,White
Fern,27.47,0.72,28.54,5.41,1172.64,Medium,White
Mango,66.15,0.73,19.83,7.04,2099.98,High,White
Orchid,360.57,1.08,18.65,5.23,3884.17,Medium,Murashige & Skoog
Tulip,86.47,0.39,20.09,7.24,1851.63,High,White
Mango,61.71,0.78,16.34,6.23,2802.08,Medium,Murashige & Skoog
Tomato,196.8,1.55,15.7,7.49,2489.82,Low,Nitsch
Wheat,69.7,0.53,26.08,7.4,1233.09,Low,Murashige & Skoog
Tulip,69.54,0.45,16.05,5.51,2588.01,High,Gamborg
Fern,63.92,0.32,19.91,5.8,1652.99,Medium,Gamborg
Fern,23.42,0.12,18.28,5.27,2570.89,Medium,B5
Apple,21.27,0.78,25.68,5.54,2212.78,Medium,Nitsch
Mango,35.03,1.0,16.49,6.27,2698.67,Low,Murashige & Skoog
Apple,37.43,0.69,26.1,6.97,2989.52,Low,Nitsch
Tulip,30.63,0.23,28.69,6.67,1875.97,High,B5
Mango,20.42,0.95,20.08,6.78,2142.64,Low,Gamborg
Rose,364.46,1.28,19.43,6.73,3068.66,Medium,Nitsch
Apple,72.69,0.56,18.62,6.99,1168.43,Medium,White
Wheat,43.25,0.61,29.16,7.37,1140.2,Medium,Gamborg
Tulip,63.75,0.95,17.89,7.26,1106.91,Medium,Nitsch
Tulip,64.24,0.71,28.27,6.92,2150.76,Medium,B5
Wheat,93.97,0.85,22.49,6.75,2133.86,Low,Nitsch
Mango,51.59,0.17,20.36,6.74,2906.43,Medium,White
Bamboo,77.86,1.89,16.06,5.71,2336.73,Low,Gamborg
Apple,84.87,0.38,15.95,5.19,1503.52,Low,White
Wheat,63.87,0.89,29.99,7.12,2313.82,High,Nitsch
Rose,377.45,1.91,22.41,7.21,3155.79,High,White
Tomato,144.95,1.02,17.85,6.15,2227.2,Medium,Nitsch
Tulip,92.05,0.9,19.23,6.61,1787.41,Low,Nitsch
Rose,218.9,2.86,18.13,6.52,4517.92,Low,Gamborg
Orchid,393.3,1.23,23.84,6.46,3072.59,High,Gamborg
Rose,230.92,2.66,28.32,5.92,4718.33,High,Gamborg
Apple,57.84,0.23,27.38,6.84,2060.19,High,White
Mango,47.2,0.87,26.54,5.6,2969.91,Medium,Gamborg
Tomato,108.7,1.48,17.2,7.17,1568.3,Low,Nitsch
Tomato,181.76,1.56,24.05,5.22,1619.02,High,Nitsch
Wheat,47.25,0.8,19.23,5.46,2165.23,High,White
Mango,87.61,0.66,27.26,6.63,1847.9,Low,Gamborg
Apple,99.13,0.76,19.91,7.07,2537.97,High,B5
Tulip,79.62,0.89,24.36,7.32,1766.09,Medium,B5
Fern,70.28,0.47,17.34,5.73,2061.21,High,White
Mango,92.56,0.37,18.32,6.75,2706.81,Low,White
Fern,95.34,0.62,22.62,7.1,2731.53,Low,Gamborg
Wheat,15.83,0.2,23.95,5.89,1928.45,Medium,Nitsch
Wheat,84.04,0.63,29.96,6.97,1547.33,Low,Gamborg
Tomato,148.14,1.71,22.09,5.7,1807.91,Medium,Nitsch
Tomato,164.23,1.98,26.25,5.36,1198.19,Low,Nitsch
Cactus,172.09,1.54,28.67,5.81,1313.34,High,Gamborg
Mango,37.29,0.34,15.36,6.3,2976.47,Medium,Gamborg
Cactus,122.22,2.48,21.71,7.29,2523.69,Medium,Nitsch
Wheat,44.59,0.22,20.35,7.22,2505.27,High,Murashige & Skoog
Fern,64.73,0.55,20.73,7.25,1487.93,Low,Gamborg
Bamboo,163.87,1.69,24.14,5.55,2302.34,High,Nitsch
Rose,207.37,4.21,20.23,6.9,3067.46,High,Gamborg
Orchid,390.86,4.92,19.23,6.1,3125.96,High,Murashige & Skoog
Wheat,63.87,0.26,17.19,5.01,2881.71,Low,Murashige & Skoog
Mango,33.76,0.89,16.71,6.5,1802.51,Medium,Gamborg
Cactus,98.56,2.48,17.01,6.9,2871.63,Medium,Nitsch
Fern,43.76,0.2,21.24,6.98,1877.42,Medium,White
Wheat,71.54,0.16,22.05,5.67,2895.94,High,Nitsch
Bamboo,56.22,1.03,17.68,6.62,2693.93,High,White
Tomato,101.39,0.55,19.08,7.16,1073.22,High,Nitsch
Bamboo,165.37,1.47,26.4,5.53,2905.4,Medium,B5
Bamboo,187.8,1.65,25.6,6.04,1447.39,Medium,White
Bamboo,125.2,1.75,18.12,6.98,2896.33,High,Nitsch
Wheat,38.93,0.47,27.13,6.49,2095.83,High,Gamborg
Orchid,112.61,1.28,15.11,7.28,3816.77,Medium,Nitsch
Mango,86.08,0.65,24.14,5.74,2667.82,Medium,Gamborg
Bamboo,125.84,1.15,18.07,6.94,2599.43,Low,Nitsch
Orchid,127.34,1.59,22.63,7.3,4719.14,High,Nitsch
Rose,302.74,3.5,24.34,5.37,4087.48,Medium,Murashige & Skoog
Tulip,49.83,0.57,16.93,5.9,1126.9,High,White
Orchid,367.39,2.93,17.03,5.96,3231.74,Medium,Nitsch
Rose,299.65,3.32,27.65,5.71,4581.71,Low,Gamborg
Wheat,17.91,0.87,22.26,7.09,1636.01,Medium,Nitsch
Cactus,189.07,2.21,27.45,5.17,2580.25,Low,White
Orchid,280.87,2.16,21.49,6.22,3129.03,High,Gamborg
Orchid,227.9,3.85,24.68,5.46,3412.28,Low,Gamborg
Cactus,128.19,1.44,19.6,7.18,2498.64,Low,Nitsch
Rose,148.54,3.77,29.63,6.53,3342.73,Medium,Murashige & Skoog
Wheat,83.71,0.21,29.65,7.46,2873.44,Medium,White
Cactus,103.23,1.92,17.68,5.27,1773.88,High,Nitsch
Mango,11.6,0.77,24.61,5.16,2929.48,Low,B5
Tulip,80.91,0.13,28.6,7.3,2122.78,Medium,B5
Rose,174.36,1.98,17.79,6.81,3706.38,Medium,Nitsch
Apple,74.32,0.43,17.24,6.48,1589.81,High,White
Apple,62.97,0.22,23.42,5.14,2213.78,High,Nitsch
Wheat,71.57,0.14,21.9,6.11,1919.56,Low,White
Tomato,100.42,0.95,21.78,7.21,1690.41,Low,Nitsch
Orchid,244.99,3.97,17.89,6.93,3333.63,Low,Gamborg
Cactus,120.34,1.87,28.76,6.02,1465.92,Medium,Murashige & Skoog
Orchid,289.44,4.69,25.12,5.49,3304.57,Low,Gamborg
Tomato,108.71,0.82,26.97,5.89,2872.17,High,B5
Orchid,188.35,3.29,19.82,5.64,4214.17,High,Nitsch
Rose,128.08,2.1,18.08,7.0,4866.74,Low,Nitsch
Mango,44.13,0.92,20.17,6.78,1201.33,High,Gamborg
Apple,64.05,0.22,20.87,7.43,1702.28,Low,Nitsch
Bamboo,174.64,0.62,28.18,5.24,1830.7,High,White
Wheat,36.88,0.11,25.43,6.55,2289.96,Low,Murashige & Skoog
Bamboo,167.91,1.42,15.29,5.43,2482.6,Low,Nitsch
Tomato,195.84,0.88,16.84,5.35,1369.58,Medium,Nitsch
Cactus,196.28,1.68,22.84,6.68,1147.86,High,Nitsch
Orchid,151.36,3.52,23.94,5.16,3533.86,High,Nitsch
Tulip,32.04,0.32,23.59,6.18,2334.58,High,Gamborg
Cactus,128.46,1.52,19.74,7.08,2091.28,Low,Nitsch
Bamboo,176.77,2.47,25.38,5.95,1561.72,Medium,White
Apple,66.4,0.89,19.94,6.02,2812.55,Medium,White
Wheat,50.37,0.58,28.51,6.38,1510.79,Medium,White
Tulip,18.7,0.77,16.64,6.01,2609.24,Medium,White
Bamboo,93.8,1.76,15.07,6.51,1894.14,Medium,B5
Tulip,55.21,0.96,22.58,6.18,1898.28,Medium,Murashige & Skoog
Wheat,38.91,0.11,25.95,6.78,2308.72,High,Murashige & Skoog
Fern,98.43,0.38,17.79,6.01,1941.6,Low,Gamborg
Apple,91.6,0.26,20.29,5.83,1711.88,High,Nitsch
Bamboo,138.02,1.25,16.3,6.17,2504.16,High,Nitsch
Rose,170.63,4.73,27.32,6.6,3273.57,High,White
Tulip,65.47,0.2,27.64,7.48,1732.7,High,White
Apple,36.77,0.92,21.09,5.52,2091.18,Low,White
Apple,55.19,0.8,18.28,7.18,1105.94,Low,Murashige & Skoog
Apple,80.41,0.94,20.52,6.72,2205.23,Medium,Gamborg
Rose,344.1,1.5,22.42,6.21,3699.82,Low,Gamborg
Fern,28.45,0.1,20.59,5.73,2733.99,Medium,Nitsch
Mango,52.1,0.29,28.88,5.13,2730.83,High,White
Tulip,37.23,0.97,19.23,6.47,2986.83,Low,B5
Tomato,141.28,1.18,19.94,6.72,2700.21,Medium,Nitsch
Cactus,98.75,1.57,24.8,5.51,2825.36,Medium,B5
Bamboo,186.09,0.77,17.18,6.9,2913.76,Low,Nitsch
Bamboo,56.13,2.44,28.78,5.95,2030.84,Low,Murashige & Skoog
Rose,200.71,4.04,29.27,6.61,4355.13,Low,Gamborg
Orchid,172.27,4.15,25.14,5.56,3565.58,Low,B5
Tomato,98.75,2.36,19.56,7.35,1500.27,Low,Murashige & Skoog
Bamboo,105.25,2.42,15.22,7.23,1749.67,Medium,Nitsch
Bamboo,53.81,1.17,15.67,6.73,2637.81,Low,White
Wheat,23.27,0.59,25.67,7.15,2871.13,Low,Nitsch
Tomato,77.13,1.42,22.61,5.26,1067.75,Low,Murashige & Skoog
Bamboo,83.5,2.38,25.45,5.59,1644.64,High,Nitsch
Rose,218.05,2.85,19.53,6.67,4889.42,Low,Gamborg
Cactus,149.66,1.51,27.39,7.09,2659.15,Low,Gamborg
Wheat,98.49,0.96,23.47,7.48,2541.09,Medium,B5
Rose,254.74,4.98,22.36,7.09,4627.25,Medium,Gamborg
Orchid,297.94,2.04,24.86,5.36,3794.14,Medium,Gamborg
Wheat,86.93,0.23,29.19,6.27,2852.83,Medium,B5
Wheat,53.46,0.66,22.57,7.42,2384.21,Low,B5
Fern,43.44,0.19,28.5,5.72,1517.84,Low,Murashige & Skoog
Wheat,22.7,0.79,28.7,5.2,2650.43,Medium,B5
Cactus,123.93,1.9,15.51,6.91,1066.69,Low,Nitsch
Wheat,44.69,0.41,23.88,7.14,1750.75,Medium,Nitsch
Bamboo,61.03,0.88,23.27,7.37,1149.52,Low,White
Rose,219.7,4.3,16.08,5.49,3600.05,Low,Gamborg
Fern,80.19,0.93,25.75,7.43,1100.94,Low,Gamborg
Wheat,86.16,0.84,20.94,6.47,1515.65,Low,White
Tulip,98.37,0.82,26.66,5.86,2322.69,Low,White
Wheat,78.69,0.32,25.6,6.45,2972.5,High,Nitsch
Fern,78.4,0.45,26.3,7.39,1046.76,High,Murashige & Skoog
Fern,60.21,0.52,23.64,6.38,2920.21,Medium,Nitsch
Wheat,33.64,0.18,29.63,6.77,1024.19,Low,White
Fern,67.28,0.42,19.74,6.53,1265.72,Low,Nitsch
Fern,11.76,0.32,24.82,5.15,1873.47,High,B5
Cactus,190.89,1.71,18.89,7.09,1326.44,Low,Nitsch
Wheat,91.73,0.62,16.04,6.45,1290.03,Medium,Nitsch
Tomato,166.27,2.01,24.06,5.52,2477.93,Medium,Nitsch
Bamboo,126.61,2.3,21.87,6.57,2923.5,Low,Nitsch
Apple,24.56,0.58,28.69,5.04,2285.27,Low,Murashige & Skoog
Bamboo,72.6,1.35,27.04,5.7,2251.35,High,Murashige & Skoog
Rose,339.24,4.33,27.7,5.85,4586.91,High,Murashige & Skoog
Cactus,194.73,1.03,20.04,5.82,1960.58,High,Nitsch
Rose,284.58,1.66,15.31,6.96,3159.41,High,Gamborg
Tomato,136.22,1.71,25.3,5.98,2547.8,High,Gamborg
Apple,73.27,0.94,25.29,6.7,1447.55,High,B5
Rose,310.04,4.99,15.5,5.16,3155.9,High,Murashige & Skoog
Cactus,70.45,1.74,19.87,6.14,1431.33,Medium,B5
Rose,332.69,1.76,17.29,5.87,3824.35,Medium,Nitsch
Rose,311.13,2.65,19.61,5.39,4679.81,High,Murashige & Skoog
Tomato,88.16,2.31,24.55,6.1,2964.38,Low,Gamborg
Mango,37.95,0.42,22.1,6.4,2617.42,High,Murashige & Skoog
Bamboo,134.56,0.61,24.96,5.6,1238.05,Low,Nitsch
Rose,239.78,1.68,15.62,6.04,4519.05,High,Gamborg
Mango,46.75,0.62,25.59,7.02,2221.07,Medium,Gamborg
Apple,28.85,0.96,21.85,6.43,1906.34,Medium,Nitsch
Cactus,87.58,2.41,21.76,5.32,1219.56,Low,B5
Tulip,33.92,0.15,26.5,7.21,2639.69,Medium,White
Rose,191.53,2.6,27.53,5.98,3022.54,High,Gamborg
Orchid,377.87,2.31,18.37,6.16,3358.65,Medium,Nitsch
Fern,61.86,0.64,22.72,5.39,2982.0,Low,B5
Apple,56.0,0.98,16.86,5.93,2863.97,Medium,Gamborg
Cactus,125.74,0.78,26.28,6.45,1237.36,High,B5
Mango,67.04,0.63,24.78,5.07,2097.45,Medium,B5
Rose,102.96,1.04,24.16,6.97,4553.01,Medium,Nitsch
Apple,42.49,0.89,15.19,5.78,1674.38,Low,Gamborg
Apple,27.06,0.83,19.13,5.83,1828.7,High,White
Rose,186.26,1.52,26.29,5.12,3301.16,Low,Nitsch
Tulip,95.31,0.84,23.29,7.19,2978.73,Medium,B5
Tomato,155.96,2.09,26.5,5.51,1999.12,Medium,Nitsch
Tomato,97.23,1.22,29.48,6.74,2061.71,High,White
Apple,73.79,0.96,24.37,5.47,1496.49,Low,White
Orchid,264.62,1.63,19.24,5.77,3438.57,High,Gamborg
Cactus,99.83,1.19,21.8,7.26,2376.35,Medium,Nitsch
Tulip,60.17,0.27,25.22,7.34,1423.73,High,White
Tulip,15.64,0.89,23.37,5.83,1687.97,High,B5
Bamboo,100.56,1.6,26.6,6.69,1588.91,Low,Murashige & Skoog
Tomato,112.52,2.23,19.25,7.29,1925.82,Low,Nitsch
Mango,68.16,0.93,17.53,6.88,1167.29,Medium,Gamborg
Cactus,157.67,1.06,23.62,5.03,1950.44,High,Nitsch
Rose,228.68,1.44,29.33,6.31,4826.44,High,Gamborg
Tulip,11.29,0.86,25.84,6.33,2461.18,Low,Gamborg
Bamboo,153.31,2.4,23.44,7.4,2784.91,Low,Nitsch
Cactus,185.13,1.15,25.99,6.84,1036.7,Low,White
Apple,22.57,0.29,26.13,5.37,1445.89,Low,Murashige & Skoog
Cactus,141.11,0.82,26.68,5.75,1422.05,Low,Nitsch
Fern,88.06,0.64,28.77,6.46,2425.13,Medium,Nitsch
Tulip,52.79,0.16,25.52,6.3,1992.75,Medium,Gamborg
Rose,210.24,3.03,18.49,5.99,4075.08,High,Gamborg
Fern,84.84,0.71,15.48,5.33,2271.26,Low,Murashige & Skoog
Rose,377.02,2.18,28.3,6.24,4700.3,Medium,Nitsch
Apple,11.64,0.43,25.93,6.07,1049.67,Low,Gamborg
Mango,96.84,0.6,22.6,5.8,1513.38,Medium,Murashige & Skoog
Bamboo,117.37,0.9,16.31,6.79,2789.24,Low,Nitsch
Bamboo,86.86,1.65,29.3,6.84,2376.67,High,B5
Orchid,307.96,2.05,28.87,5.45,4809.79,High,White
Orchid,100.75,4.33,18.93,7.21,4382.96,High,Nitsch
Fern,78.57,0.27,19.73,5.24,1286.96,Medium,White
Wheat,27.88,0.23,16.85,7.16,1063.12,Low,White
Mango,19.93,0.62,16.2,6.51,2701.25,High,Murashige & Skoog
Wheat,81.85,0.89,22.65,6.23,2243.19,Low,White
Orchid,263.27,1.16,21.97,7.04,4452.41,High,Gamborg
Apple,20.83,0.92,27.7,6.77,2635.78,Medium,Murashige & Skoog
Wheat,60.45,0.42,23.53,5.64,1880.56,Low,Nitsch
Bamboo,185.07,0.69,25.65,5.55,1600.62,Low,Murashige & Skoog
Mango,22.48,0.66,24.11,5.53,1948.85,High,White
Rose,105.76,3.61,15.8,7.45,4219.24,High,Nitsch
Mango,18.16,0.94,24.38,5.46,2125.16,High,Gamborg
Rose,294.55,3.33,17.75,6.51,3113.02,Medium,Gamborg
Fern,59.86,0.69,28.43,7.13,2961.31,Low,Nitsch
Rose,310.99,3.78,20.36,5.96,4124.48,Medium,Murashige & Skoog
Rose,344.38,2.25,20.96,6.75,4830.65,Medium,White
Apple,36.51,0.29,15.18,7.24,2824.5,Medium,Gamborg
Wheat,18.6,0.27,27.7,6.43,2267.26,Medium,Murashige & Skoog
Apple,70.68,0.11,24.42,7.03,2181.54,Low,White
Mango,65.77,0.68,29.51,5.45,2246.19,Medium,B5
Orchid,249.14,1.88,29.76,7.12,3052.48,Low,Gamborg
Rose,242.83,3.49,23.75,5.94,4768.23,Medium,Gamborg
Mango,10.89,0.97,26.27,5.4,1683.35,Low,Murashige & Skoog
Fern,35.25,0.99,28.59,7.32,1369.55,Low,Murashige & Skoog
Tomato,156.18,0.94,25.68,7.29,1534.96,Low,Nitsch
Bamboo,130.37,2.17,19.18,6.55,1959.18,Low,Nitsch
Apple,55.93,0.25,24.59,5.29,2461.96,Low,Murashige & Skoog
Fern,84.13,0.41,21.39,5.65,2534.23,High,B5
Orchid,105.52,1.54,20.47,5.27,4202.26,Low,Nitsch
Bamboo,162.84,2.3,19.61,6.16,2730.0,Medium,Nitsch
Apple,86.12,0.14,26.73,5.52,1572.24,Low,White
Apple,10.79,0.75,21.89,6.7,2211.18,Low,White
Apple,68.02,0.92,25.61,5.11,2677.12,Low,Gamborg
Bamboo,142.91,0.6,19.0,6.8,2140.19,Medium,Nitsch
Mango,72.18,0.46,15.39,6.1,2804.26,High,Murashige & Skoog
Bamboo,53.33,1.77,26.12,5.74,1953.33,Low,Murashige & Skoog
Tomato,102.66,1.75,17.7,5.5,2849.85,Low,Nitsch
Orchid,193.24,3.18,28.5,6.95,3087.57,High,Nitsch
Mango,52.8,0.72,17.94,7.45,2290.61,Low,Murashige & Skoog
Tomato,82.47,1.77,15.42,5.85,2495.03,Low,Murashige & Skoog
Wheat,57.56,0.48,18.43,6.76,1504.72,Low,Nitsch
Wheat,73.63,0.48,25.04,5.3,1531.39,Low,Gamborg
Bamboo,52.79,1.83,23.82,6.56,1510.0,Low,White
Rose,201.04,3.55,27.42,7.22,3011.61,Low,Gamborg
Tulip,11.01,0.3,19.99,5.08,2215.81,High,Nitsch
Rose,278.5,4.99,29.17,5.01,4590.76,Low,Gamborg
Tulip,37.94,0.52,18.51,7.47,1521.01,Low,Gamborg
Fern,42.65,1.0,26.67,7.44,2386.22,High,Nitsch
Tomato,123.29,1.33,27.42,6.16,1591.23,Low,White
Bamboo,150.17,0.62,22.94,5.11,1058.38,Low,Nitsch
Tomato,146.2,1.06,17.71,5.05,1446.88,Medium,Nitsch
Apple,93.38,0.57,29.86,6.27,1231.7,Low,Murashige & Skoog
Tomato,139.57,1.89,22.03,5.24,1937.28,Medium,Nitsch
Cactus,152.32,2.08,29.44,5.37,2064.84,High,Gamborg
Orchid,230.91,3.62,25.5,7.16,3361.01,High,Gamborg
Cactus,58.87,2.47,27.87,6.65,2469.99,Medium,Nitsch
Rose,386.63,1.0,27.64,6.27,3922.81,High,Gamborg
Tulip,95.54,0.29,17.69,5.6,2103.67,Low,White
Wheat,32.82,0.84,15.82,6.75,1878.2,Medium,Murashige & Skoog
Apple,77.5,0.5,17.26,7.02,1921.41,High,Murashige & Skoog
Orchid,187.56,1.2,28.54,6.21,3561.92,High,Murashige & Skoog
Tomato,187.0,1.45,28.81,5.84,1453.06,Low,Nitsch
Cactus,66.23,2.13,26.57,5.87,2380.58,Low,Nitsch
Rose,211.71,4.7,20.69,5.15,3835.99,Low,Gamborg
Mango,63.42,0.35,25.32,6.58,1344.35,Low,Murashige & Skoog
